index_code,index_name,query_trading_day,source_api,source_query_code,htsc_code,name,exchange,stock_code,stock_name,stock_exchange,trading_day,weight,in_date,out_date
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000969.SZ,安泰科技,XSHE,2019-05-15 00:00:00,0.14,2013-12-16 00:00:00,2019-06-17 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000970.SZ,中科三环,XSHE,2019-05-15 00:00:00,0.22,2015-12-14 00:00:00,2024-06-17 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000975.SZ,科学城,XSHE,2019-05-15 00:00:00,0.27,2007-01-15 00:00:00,2024-06-17 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000980.SZ,众泰汽车,XSHE,2019-05-15 00:00:00,0.14,2018-06-11 00:00:00,2020-06-15 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000987.SZ,越秀金控,XSHE,2019-05-15 00:00:00,0.07,2017-12-11 00:00:00,2020-12-14 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000988.SZ,华工科技,XSHE,2019-05-15 00:00:00,0.22,2007-01-15 00:00:00,2025-12-15 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000990.SZ,诚志股份,XSHE,2019-05-15 00:00:00,0.15,2017-12-11 00:00:00,2023-06-12 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000997.SZ,新大陆,XSHE,2019-05-15 00:00:00,0.33,2008-01-02 00:00:00,
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000998.SZ,隆平高科,XSHE,2019-05-15 00:00:00,0.36,2018-12-17 00:00:00,2025-06-16 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000999.SZ,华润三九,XSHE,2019-05-15 00:00:00,0.3,2016-12-12 00:00:00,2023-06-12 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,002002.SZ,鸿达兴业,XSHE,2019-05-15 00:00:00,0.2,2016-06-13 00:00:00,2023-06-12 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,002004.SZ,华邦制药,XSHE,2019-05-15 00:00:00,0.2,2013-01-04 00:00:00,2022-12-12 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,002013.SZ,中航精机,XSHE,2019-05-15 00:00:00,0.29,2013-07-01 00:00:00,2019-06-17 00:00:00
